,ticker,figi,type,name
409,ULTA,BBG00FWQ4VD6,shares,Ulta Beauty
410,VMI,BBG000BWB7V4,shares,Valmont Industries
411,868,BBG000LG6G08,shares,Xinyi Glass Holdings
412,VRSN,BBG000BGKHZ3,shares,VeriSign
413,ABBV,BBG0025Y4RY4,shares,AbbVie
414,KEY,BBG000BMQPL1,shares,KeyCorp
415,LNZL,BBG000SK7JS5,shares,Лензолото
416,ALG,BBG000BJTZX0,shares,Alamo Group Inc.
417,PLCE,BBG000JK9DK4,shares,Children's Place Inc The
418,CACI,BBG000KQY8Y7,shares,CACI International
419,LEA,BBG000PTLGZ1,shares,Lear Corp
420,VST,BBG00DXDL6Q1,shares,Vistra
421,MGTSP,BBG000PZ0833,shares,МГТС - акции привилегированные
422,ZWS,BBG000H8R0N8,shares,Zurn Elkay Water Solutions
423,WTS,BBG000C4Z6C2,shares,Watts Water Technologies Inc
424,OGE,BBG000BQGLS5,shares,OGE Energy Corp.
425,JBSS,BBG000CHPMY5,shares,John B Sanfilippo & Son Inc
426,ELFV,BBG000F6YPH8,shares,ЭЛ5-Энерго
427,9992,BBG00Y9WVZ76,shares,Pop Mart
428,TSP,BBG00ZSDS6T8,shares,TuSimple Holdings
429,PKG,BBG000BB8SW7,shares,Packaging Corp of America
430,DMTK,BBG00H19F184,shares,DermTech
431,MDB,BBG0022FDRY8,shares,MongoDB Inc
432,NOK,BBG000BNGBW9,shares,Nokia
433,WH,BBG00HCY3Q67,shares,Wyndham Hotels & Resorts
434,UDR,BBG000C41023,shares,UDR REIT
435,BLK,BBG000C2PW58,shares,BlackRock
436,PENN,BBG000CDZLV8,shares,PENN Entertainment
437,WFC,BBG000BWQFY7,shares,Wells Fargo & Company
438,SELG,BBG002458LF8,shares,Селигдар
439,OKE,BBG000BQHGR6,shares,ONEOK
440,SIVB,BBG000BT0CM2,shares,SVB Financial Group
441,OMC,BBG000BS9489,shares,Omnicom Group
442,ZYXI,BBG000BJBXZ2,shares,Zynex Inc
443,USNA,BBG000BX28M0,shares,USANA Health Sciences Inc
444,AGCO,BBG000DCCZW2,shares,AGCO Corp
445,HXL,BBG000BLMDQ9,shares,Hexcel Corp
446,RBLX,BBG001R1GCT0,shares,ROBLOX Corp
447,IDCC,BBG000HLJ7M4,shares,InterDigital
448,MTN,BBG000BCMWM1,shares,Vail Resorts Inc
449,NIC,BBG000QK0TG5,shares,Nicolet Bankshares
450,RCL,BBG000BB5792,shares,Royal Caribbean Cruises
451,NOV,BBG000BJX8C8,shares,National Oilwell Varco
452,TOST,BBG00BTJVK94,shares,Toast
453,HWM,BBG00DYNJGH9,shares,Howmet Aerospace
454,TASK,BBG009CL6VK3,shares,TaskUs
455,RETA,BBG000R33BD1,shares,Reata Pharmaceuticals Inc
456,IOSP,BBG000BMFNP4,shares,Innospec
457,TWOU,BBG001KS9450,shares,2U Inc
458,AGRO,BBG007N0Z367,shares,РусАгро
459,GOOGL,BBG009S39JX6,shares,Alphabet Class A
460,IIPR,BBG00F0SW7N8,shares,Innovative Industrial Properties REIT
461,TAL,BBG0016XJ8S0,shares,TAL Education Group
462,GTHX,BBG005F1DK91,shares,G1 Therapeutics Inc
463,TATNP,BBG004S68829,shares,Татнефть - привилегированные акции
464,MUR,BBG000BPMH90,shares,Murphy Oil
465,NDAQ,BBG000F5VVB6,shares,Nasdaq
466,ALLO,BBG00KHRRDX3,shares,Allogene Therapeutics Inc
467,AOS,BBG000BC1L02,shares,A. O. Smith Corporation
468,VEON-RX,BBG00R4Z2NT4,shares,VEON
469,FI,TCS377381088,shares,Fiserv
470,AVY,BBG000BCQ4P6,shares,Avery Dennison
471,1099,BBG000VWV3Z5,shares,Sinopharm Group
472,CB,BBG000BR14K5,shares,Chubb
473,METC,BBG00BCQJ2X3,shares,Ramaco Resources Inc
474,ESTC,BBG00LWZDYB9,shares,Elastic NV
475,CYRX,BBG000PNTXP0,shares,Cryoport
476,SQ,BBG0018SLC07,shares,Block
477,OLED,BBG000BLRP41,shares,Universal Display Corp
478,DVA,BBG000MQ1SN9,shares,DaVita HealthCare Partners
479,FLWS,BBG000BBR9P6,shares,1-800-Flowers.com Inc
480,ORA,BBG000Q5BQ63,shares,Ormat Technologies
481,CPRT,BBG000BM9RH1,shares,Copart Inc
482,CSL,BBG000BGGBT8,shares,Carlisle Companies Incorporated
483,JLL,BBG000C2L2L0,shares,Jones Lang LaSalle Inc
484,RACE,BBG009PH3Q86,shares,Ferrari N.V.
485,2319,BBG000PXTGY5,shares,China Mengniu Dairy
486,AFRM,BBG00Y7BP8Y1,shares,Affirm Holdings
487,MATV,BBG000C3CWZ7,shares,Mativ Holdings
488,DECK,BBG000BKXYX5,shares,Deckers Outdoor Corp
489,ADP,BBG000JG0547,shares,Automatic Data Processing
490,NYT,BBG000FFC0B3,shares,New York Times
491,LEGH,BBG00MJDR6J9,shares,Legacy Housing Corp
492,SWK,BBG000BTQR96,shares,Stanley Black & Decker
493,MS,BBG000BLZRJ2,shares,Morgan Stanley
494,MOS,BBG000BFXHL6,shares,Mosaic
495,CWST,BBG000BT0J38,shares,Casella Waste Systems
496,RMD,BBG000L4M7F1,shares,ResMed Inc
497,FARO,BBG000BJD7C2,shares,FARO Technologies Inc
498,BLNG,BBG000VQWH86,shares,Белон
499,EVBG,BBG0022FMPD5,shares,Everbridge Inc
500,ORMP,BBG000LRYR36,shares,Oramed Pharmaceuticals
501,PRFN,TCS00A0JNXF9,shares,ЧЗПСН
502,MASI,BBG000C3W281,shares,Masimo Corporation
503,NVRO,BBG001K61W36,shares,Nevro
504,ANF,BBG000H9G7X2,shares,Abercrombie & Fitch
505,OGS,BBG004WQKD07,shares,ONE Gas
506,GGG,BBG000BK9W84,shares,Graco
507,RSKD,BBG011P2TCH8,shares,Riskified
508,2202,BBG006KY4KF4,shares,China Vanke
509,IDXX,BBG000BLRT07,shares,IDEXX
510,FSLR,BBG000BFL116,shares,First Solar
511,COUR,BBG002WLDMW5,shares,"Coursera, Inc."
512,YEXT,BBG001MKZGY7,shares,Yext Inc
513,WDFC,BBG000BWNV93,shares,WD-40 Co
514,PLUG,BBG000C1XSP8,shares,Plug Power Inc
515,KD,BBG012W99DN6,shares,Kyndryl Holdings
516,COLB,BBG000CTGXS2,shares,Columbia Banking System
517,2518,BBG00ZHT7FY2,shares,Autohome
518,WST,BBG000BX24N8,shares,West Pharmaceutical Services I
519,UTHR,BBG000BV4XJ1,shares,United Therapeutics Corp
520,PNTG,BBG00P33SY72,shares,Pennant Group Inc
521,FLR,BBG000BB1TH9,shares,Fluor
522,FLT,BBG000GPXKX9,shares,FleetCor Technologies Inc
523,MD,BBG000H8LGK2,shares,Pediatrix Medical Group
524,MDC,BBG000BNTTY4,shares,M.D.C. Holdings
525,NVEE,BBG005BT60Y8,shares,NV5 Global Inc
526,MANU,BBG0035WV4N9,shares,Manchester United Plc
527,UPBD,BBG000BHQJX3,shares,Upbound Group
528,EMN,BBG000BLW530,shares,Eastman Chemical Company
529,GPK,BBG000GQ7K93,shares,Graphic Packaging Holding Company
530,VMW,BBG000BC9938,shares,VMware
531,YETI,BBG00D8JC882,shares,YETI Holdings Inc
532,HCCI,BBG000CCFB17,shares,Heritage-Crystal Clean Inc
533,NABL,BBG00YJKWXD8,shares,N-able
534,UEC,BBG000LCK3Q2,shares,Uranium Energy Corp
535,ZNTL,BBG00R2K8TF5,shares,Zentalis Pharmaceuticals
536,ARW,BBG000BCD3D5,shares,Arrow Electronics Inc
537,1109,BBG000HPNDX5,shares,China Resources Land
538,FCFS,BBG0145KL747,shares,FirstCash
539,WDAY,BBG000VC0T95,shares,Workday Inc
540,FOCS,BBG00L0YTFN8,shares,Focus Financial Partners Inc
541,PRO,TCS4346Y1038,shares,PROS Holdings
542,ADM,BBG000BB6WG8,shares,Archer-Daniels-Midland Company
543,1299,BBG0016XR1Q8,shares,AIA Group
544,GPS,BBG000BKLH74,shares,Gap
545,RYN,BBG000BG7L34,shares,Rayonier REIT
546,UA,BBG009DTD8H2,shares,Under Armour (C)
547,1347,BBG0078Q6BC4,shares,Hua Hong Semiconductor
548,XOM,BBG000GZQ728,shares,Exxon Mobil Corporation
549,EMBC,BBG014L7D4G1,shares,Embecta
550,MAGN,BBG004S68507,shares,Магнитогорский металлургический комбинат
551,VTBR,BBG004730ZJ9,shares,Банк ВТБ
552,LUMN,BBG000BGLRN3,shares,Lumen Technologies
553,WMG,BBG00RP2T9T6,shares,Warner Music Group
554,SMLT,BBG00F6NKQX3,shares,ГК Самолет
555,MAT,BBG000BNNYW1,shares,Mattel
556,CNMD,BBG000BFZVH8,shares,CONMED Corporation
557,WRLD,BBG000C3G9J2,shares,World Acceptance Corp
558,VSTO,BBG006F8QZK4,shares,Vista Outdoor
559,ARCT,BBG00NNW8JK1,shares,Arcturus Therapeutics Holdings
560,LFUS,BBG000BGFGT8,shares,Littelfuse
561,SAVA,BBG000BK9YW3,shares,Cassava Sciences
562,TPH,BBG0016YQTR5,shares,"Tri Pointe Homes, Inc."
563,AVNT,BBG000C8NJ10,shares,Avient Corporation
564,EL,BBG000FKJRC5,shares,The Estee Lauder Companies
565,AAP,BBG000F7RCJ1,shares,Advance Auto Parts
566,BANE,BBG004S68758,shares,Башнефть
567,ICLR,BBG000CTSZQ6,shares,ICON plc
568,TWST,BBG006KDCHJ4,shares,Twist Bioscience
569,GHC,BBG000C3FGH9,shares,Graham Holdings Co
570,AON,BBG00SSQFPK6,shares,Aon
571,TTD,BBG00629NGT2,shares,Trade Desk Inc/The
572,AFLT,BBG004S683W7,shares,Аэрофлот
573,EFX,BBG000BHPL78,shares,Equifax
574,QS,BBG00VJ17DS2,shares,QuantumScape Corporation
575,AWH,BBG000BTYP37,shares,Aspira Womens Health
576,2020,BBG000QWR4M8,shares,Anta Sports Products
577,MKC,BBG000G6Y5W4,shares,McCormick & Co
578,MCK,BBG000DYGNW7,shares,McKesson
579,RPD,BBG009DFHWG6,shares,Rapid7 Inc
580,CIAN,BBG012YQ6P43,shares,Циан АДР
581,TRUP,BBG002BC7WC5,shares,Trupanion Inc
582,CARM,TCS00A105NV2,shares,КарМани
583,MHK,BBG000FLZN98,shares,Mohawk Industries
584,CELL,BBG00HJ8K617,shares,PhenomeX
585,MA,BBG000F1ZSQ2,shares,Mastercard
586,3800,BBG000TRZNP2,shares,GCL Technology
587,RUAL,BBG008F2T3T2,shares,РУСАЛ
588,ATRC,BBG000BL6CB5,shares,AtriCure
589,NKHP,BBG00BGKYH17,shares,НКХП
590,SMAR,BBG00GQK3WB5,shares,Smartsheet Inc
591,GLBE,BBG00ZKY1P71,shares,Global-E Online Ltd
592,COHR,BBG000BLW102,shares,Coherent Corp
593,DT,BBG00PNN7C40,shares,Dynatrace Inc
594,SBAC,BBG000D2M0Z7,shares,SBA Communications REIT
595,AWR,BBG000F964B6,shares,American States Water Co
596,SIGI,BBG000BSZ738,shares,Selective Insurance Group
597,GLPI,BBG003MSMCS6,shares,Gaming and Leisure Properties REIT
598,HLNE,BBG00FX58Q66,shares,Hamilton Lane Incorporated
599,NMIH,BBG005DLMMZ6,shares,NMI Holdings Inc
600,RBA,BBG000C1DF05,shares,RB Global
601,PLTK,BBG00QQ8C789,shares,Playtika Holding Corp.
602,PDS,BBG000BBK2X9,shares,Precision Drilling
603,VYX,TCS0086E1082,shares,NCR Corp
604,OSTK,BBG000BF7BV7,shares,Overstock.com
605,LTHM,BBG00LV3NRG0,shares,Livent Corporation
606,MNDY,BBG00GF8K4W4,shares,Monday.Com
607,CGEN,BBG000B9ZLB0,shares,Compugen
608,ITCI,BBG0026ZFZC4,shares,"Intra-Cellular Therapies, Inc"
609,CRMT,BBG000CM6L31,shares,America's Car-Mart Inc TX
610,TOL,BBG000BVHBM1,shares,Toll Brothers Inc
611,AEIS,BBG000FKMP26,shares,Advanced Energy Industries Inc
612,FG,BBG01BGVGG87,shares,F&G Annuities & Life
613,SPG,BBG000BJ2D31,shares,Simon Property Group REIT
614,NVR,BBG000BQBYR3,shares,NVR Inc
615,EVER,BBG00F17NDH7,shares,EverQuote
616,AWK,BBG000TRJ294,shares,American Water Works
617,WKC,TCS814751064,shares,World Kinect Corporation
618,CTLT,BBG005XR47P5,shares,Catalent Inc
619,LC,BBG001YKDND6,shares,Lending Club
620,BERY,BBG000Q1R1Y9,shares,Berry Global Group Inc
621,SCL,BBG000BSMFN2,shares,Stepan Company
622,CMC,BBG000BFSND8,shares,Commercial Metals Company
623,WHR,BBG000BWSV34,shares,Whirlpool
624,BA,BBG000BCSST7,shares,BOEING
625,3908,BBG00B0THY80,shares,China International Capital Corporation
626,IRWD,BBG000GBZ3J2,shares,Ironwood Pharmaceuticals
627,DASH,BBG005D7QCJ3,shares,DoorDash
628,GMED,BBG002V87SD0,shares,Globus Medical Inc
629,TFC,BBG000BYYLS8,shares,Truist Financial Corporation
630,DINO,BBG0135B2214,shares,HF Sinclair Corporation
631,GEHC,BBG01BFR8YV1,shares,GE HealthCare Technologies
632,1044,BBG000CJXNB5,shares,Hengan Group
633,EAT,BBG000BK28N7,shares,Brinker International Inc
634,ACAD,BBG000BHG9K0,shares,ACADIA Pharmaceuticals Inc
635,SBER,BBG004730N88,shares,Сбер Банк
636,SNAP,BBG00441QMJ7,shares,Snap Inc
637,TSM,BBG000BD8ZK0,shares,Taiwan Semiconductor Manufacturing
638,SLP,BBG000BS2ZD1,shares,Simulations Plus Inc.
639,HZO,BBG000C1SRH5,shares,"MarineMax, Inc."
640,CPB,BBG000BG4202,shares,Campbell Soup
641,VRT,BBG00L2B8KW8,shares,Vertiv Holdings Co
642,CHD,BBG000BFJT36,shares,Church & Dwight
643,BBWI,BBG000BNGTQ7,shares,Bath & Body Works
644,AMCX,BBG000H01H92,shares,AMC Networks Inc
645,RUN,BBG0025XVR85,shares,Sunrun Inc
646,AKAM,BBG000BJQWD2,shares,Akamai Technologies
647,PGNY,BBG002H1K1H1,shares,Progyny Inc
648,SR,BBG000BN6KG8,shares,Spire Inc.
649,CP,BBG000BCVMH9,shares,Canadian Pacific Kansas City
650,SRE,BBG000C2ZCH8,shares,Sempra
651,IBM,BBG000BLNNH6,shares,IBM
652,NOVA,BBG00PLQ1JR1,shares,Sunnova Energy International
653,ZUMZ,BBG000PYX812,shares,Zumiez Inc
654,TMUS,BBG000NDV1D4,shares,T-Mobile US Inc
655,MODG,BBG000CPCVY1,shares,Topgolf Callaway Brands
656,USM,BBG000BW6P59,shares,United States Cellular Corp
657,ZYNE,BBG007BBS8B7,shares,Zynerba Pharmaceuticals Inc
658,ABG,BBG000BKDWB5,shares,Asbury Automotive Group Inc
659,3,BBG000BDWT45,shares,Hong Kong and China Gas Co.
660,MRVL,BBG00ZXBJ153,shares,"Marvell Technology, Inc."
661,AMTI,BBG00R240WL5,shares,Applied Molecular Transport
662,SKLZ,BBG00RQ732B6,shares,Skillz Inc.
663,1171,BBG000BKZ1H3,shares,Yankuang Energy Group
664,RRR,BBG00B6G8077,shares,Red Rock Resorts
665,VCEL,BBG000BDCM24,shares,Vericel Corp
666,AVB,BBG000BLPBL5,shares,AvalonBay Communities REIT
667,ITRI,BBG000BD2167,shares,Itron Inc
668,MTB,BBG000D9KWL9,shares,M&T Bank
669,16,BBG000BF0155,shares,Sun Hung Kai Properties
670,857,BBG000BFNTD0,shares,PetroChina
671,BMO,BBG000DLY9B9,shares,Bank of Montreal
672,2359,BBG00MP10H94,shares,WuXi AppTec
673,HON,BBG000H556T9,shares,Honeywell
674,TTC,BBG000BVQRY3,shares,Toro
675,ACIW,BBG000PMBV39,shares,"ACI Worldwide, Inc."
676,AVXL,BBG000C9K8K4,shares,Anavex Life Sciences Corp.
677,GECO,TCS00A105BN4,shares,Генетико
678,ESAB,BBG0028ZMP45,shares,ESAB Corporation
679,AN,BBG000BBXLW4,shares,AutoNation
680,SEE,BBG000C22QV7,shares,Sealed Air
681,MDMG,BBG00Y3XYV94,shares,Мать и дитя
682,T,BBG000BSJK37,shares,AT&T
683,EQH,BBG00J7CBVW8,shares,Equitable Holdings
684,ATI,BBG000LC1FS4,shares,Allegheny Technologies
685,2328,BBG000BYRGX1,shares,PICC Property and Casualty
686,COIN,BBG00ZGF7771,shares,Coinbase
687,CLSK,BBG001MB89V6,shares,Cleanspark Inc
688,NSIT,BBG000DY3K39,shares,Insight Enterprises Inc
689,DNMR,BBG00S4VMQT2,shares,Danimer Scientific
690,ATNI,BBG000F8RCH1,shares,"ATN International, Inc"
691,CGNT,BBG00R0ZFHV4,shares,Cognyte Software Ltd.
692,CNHI,BBG0059JSF49,shares,CNH Industrial N.V.
693,CBU,BBG000BF4D19,shares,Community Bank System
694,SRDX,BBG000BZ2QG2,shares,Surmodics Inc
695,FCNCA,BBG000BJCDS3,shares,"First Citizens BancShares, Inc."
696,BNTX,BBG00Q70B3V1,shares,BioNTech SE
697,3690,BBG00LLV9WW6,shares,Meituan
698,IEX,BBG000C1HN22,shares,IDEX Corp
699,GTRK,BBG00HY6V6H5,shares,ГТМ
700,MVID,BBG004S68CP5,shares,М.видео
701,BOX,BBG000PMSK08,shares,Box Inc
702,KYMR,BBG00SDHC8D1,shares,Kymera Therapeutics
703,STLD,BBG000HGYNZ9,shares,Steel Dynamics Inc
704,ARNC,BBG00R45JYB7,shares,Arconic
705,MKTX,BBG000BJBZ23,shares,MarketAxess Holdings Inc
706,DFS,BBG000QBR5J5,shares,Discover Financial Services
707,SILK,BBG0026ZJRY4,shares,Silk Road Medical
708,ENTA,BBG001V9NSB4,shares,Enanta Pharmaceuticals Inc
709,INMD,BBG00PPS73P4,shares,Inmode Ltd
710,VCYT,BBG001J2M542,shares,Veracyte Inc
711,HBAN,BBG000BKWSR6,shares,Huntington Bancshares
712,PD,BBG0043BYPB8,shares,Pagerduty Inc
713,PCRX,BBG0018FQNS6,shares,Pacira BioSciences Inc
714,LKQ,BBG000PXDL44,shares,LKQ Corporation
715,POOL,BBG000BCVG28,shares,Pool Corp
716,WBS,BBG000BWMX63,shares,Webster Financial Corporation
717,HD,BBG000BKZB36,shares,The Home Depot
718,QUOT,BBG001QYNR63,shares,Quotient Technology Inc
719,BECN,BBG000BKTXF2,shares,Beacon Roofing Supply Inc
720,FL,BBG000BX8DC4,shares,Foot Locker
721,IPAR,BBG000GCSWR5,shares,Inter Parfums Inc
722,1385,BBG000C1FPY4,shares,Shanghai Fudan Microelectronics
723,NTGR,BBG000C4GBR6,shares,NETGEAR Inc
724,NARI,BBG009J8K7M0,shares,Inari Medical Inc
725,J,BBG019C1BQR4,shares,Jacobs Solutions
726,BANEP,BBG004S686N0,shares,Башнефть - привилегированные акции
727,RBC,BBG000GMGNB3,shares,RBC Bearings Inc
728,BRX,BBG001LFLZZ1,shares,Brixmor Property Group REIT
729,OXY,BBG000BQQ2S6,shares,Occidental Petroleum
730,APD,BBG000BC4JJ4,shares,Air Products & Chemicals
731,GES,BBG000BC26P7,shares,Guess? Inc
732,VRTV,BBG005XZHR97,shares,Veritiv Corp
733,NDSN,BBG000BPWGR1,shares,Nordson Corp
734,SWN,BBG000BTR593,shares,Southwestern Energy
735,RARE,BBG001RWPDW6,shares,Ultragenyx Pharmaceutical Inc
736,SWI,BBG00M1CKSK7,shares,SolarWinds Corp
737,CI,BBG00KXRCDP0,shares,Cigna
738,OKEY,BBG00172J7S9,shares,O'Key Group SA
739,INCY,BBG000BNPSQ9,shares,Incyte
740,ALRS,BBG004S68B31,shares,АЛРОСА
741,2333,BBG000CYZ1K8,shares,Great Wall Motor
742,1658,BBG00DSLKXX3,shares,Postal Savings Bank of China
743,MYRG,BBG000BC7VW9,shares,MYR Group Inc
744,ANDE,BBG000BF8CN3,shares,Andersons Inc
745,FOUR,BBG00TX393L4,shares,Shift4 Payments
746,UDMY,BBG0025DTRN5,shares,Udemy
747,SBUX,BBG000CTQBF3,shares,Starbucks Corporation
748,AMKR,BBG000BCKGW7,shares,Amkor Technology
749,BFH,BBG000BFNR17,shares,Bread Financial
750,SNX,BBG000CL9JV4,shares,SYNNEX Corp
751,MSFT,BBG000BPH459,shares,Microsoft Corporation
752,TER,BBG000BV4DR6,shares,Teradyne Inc
753,TWNK,BBG00B6KGNN1,shares,Hostess Brands Inc
754,UFPI,BBG000BL0T06,shares,"UFP Industries, Inc"
755,RY,BBG000BSSC44,shares,Royal Bank of Canada
756,DISH,BBG000C2YHG9,shares,DISH Network Corp
757,CPRI,BBG0029SNR63,shares,Capri Holdings Limited
758,ALK,BBG000BBL0Y1,shares,Alaska Air Group
759,ALLK,BBG003QBJKN0,shares,Allakos Inc
760,QCOM,BBG000CGC1X8,shares,Qualcomm
761,HUN,BBG000NS26Q8,shares,Huntsman
762,CBRL,BBG000BF33K1,shares,Cracker Barrel Old Country Sto
763,MAS,BBG000BNNKG9,shares,Masco
764,BKU,BBG000PQPCM6,shares,"BankUnited, Inc."
765,SAIA,BBG000P5LMQ0,shares,Saia Inc
766,SAP,BBG000BDSLD7,shares,АДР SAP
767,GRMN,BBG000C4LN67,shares,Garmin
768,MGY,BBG00GNC8DL2,shares,Magnolia Oil & Gas Corp
769,ZIP,BBG010JBYV98,shares,ZipRecruiter Inc
770,PSEC,BBG000Q3RGN4,shares,Prospect Capital Corporation
771,MKL,BBG000FC7366,shares,Markel Group
772,ERIE,BBG000BBTJZ1,shares,Erie IndemnIty Co
773,SRCL,BBG000H3FZM6,shares,Stericycle
774,TRGP,BBG0015XMW40,shares,Targa Resources
775,6618,BBG00Y6QRNM7,shares,JD Health International
776,BDX,BBG000BCZYD3,shares,"Becton, Dickinson and Company"
777,LRCX,BBG000BNFLM9,shares,Lam Research
778,SONO,BBG001JZPSQ2,shares,SONOS INC
779,CNNE,BBG00GXRNJP4,shares,Cannae Holdings
780,TCS,TCS7238U2033,shares,TCS Group (Tinkoff Bank holder)
781,NRIX,BBG00SDJ8M78,shares,Nurix Therapeutics Inc
782,MLCO,BBG000BHP8J4,shares,Melco Resorts & Entertainment
783,PG,BBG000BR2TH3,shares,Procter & Gamble
784,PCOR,BBG0026ZJ304,shares,Procore Technologies
785,HRTX,BBG000G2GJT7,shares,Heron Therapeutics Inc
786,STT,BBG000BKFBD7,shares,State Street
787,ALGM,BBG00H5S8391,shares,Allegro MicroSystems
788,MRKP,BBG000VG1034,shares,Россети Центр и Приволжье
789,INTC,BBG000C0G1D1,shares,Intel Corporation
790,JELD,BBG0019GM953,shares,JELD-WEN Holding Inc
791,COKE,BBG000BG1SX2,shares,Coca-Cola Consolidated Inc
792,DOCS,BBG0026ZJQX7,shares,"Doximity, Inc."
793,TCBI,BBG000DN4ZT1,shares,Texas Capital Bancshares Inc
794,FR,BBG000CKGDS5,shares,First Industrial REIT
795,FELE,BBG000BJGGV8,shares,Franklin Electric Co
796,RE,BBG000C1XVK6,shares,Everest Group
797,AIG,BBG000BBDZG3,shares,American International Group
798,ENTG,BBG000CTV4N4,shares,Entegris Inc
799,CVCO,BBG000K4WS65,shares,Cavco Industries Inc
800,TRV,BBG000BJ81C1,shares,Travelers Cos
801,SAH,BBG000BBMNG0,shares,Sonic Automotive
802,IONS,BBG000JH6683,shares,Ionis Pharmaceuticals Inc
803,ECL,BBG000BHKYH4,shares,Ecolab
804,HHC,BBG000MJRJJ2,shares,Howard Hughes Corp
805,PAYX,BBG000BQSQ38,shares,Paychex Inc
806,FLOT,BBG000R04X57,shares,Совкомфлот
807,BROS,BBG01282ZHB3,shares,Dutch Bros
808,MRNA,BBG003PHHZT1,shares,Moderna Inc
809,SHEN,BBG000BTC2N0,shares,Shenandoah Telecommunications
810,ENS,BBG000PWTD92,shares,EnerSys
811,OII,BBG000CPBCL8,shares,Oceaneering International Inc
812,TRI,BBG000BBS9F6,shares,Thomson Reuters Corporation
813,XPO,BBG000L5CJF3,shares,"XPO, Inc."
814,LDOS,BBG000C23PB0,shares,Leidos Holdings
815,SPLK,BBG001C7TST4,shares,Splunk
816,KOPN,BBG000C2SBZ8,shares,Kopin Corporation
817,AAPL,BBG000B9XRY4,shares,Apple
818,NVS,BBG000LYF3S8,shares,Novartis AG
819,WM,BBG000BWVSR1,shares,Waste Management
